Id,Ticker,YoySuccess,Date,Eps,PbRatio,PeRatio,MarketCap,OneDay,SixMonths,CashFlowToSales,Roe,Roe1,Roe2,Roe3,Roe4,BvS,BvS1,BvS2,BvS3,BvS4,DivYield,DivYield1,DivYield2,DivYield3,DivYield4
388,TRU,9,,7.3,4.843,13.644,18925434703,-2,-13,0.09443253,0.34,0,0,0,0,20.58,13.38,11.96,10.24,9.48,0.0037,0.0035,0.0032,0.0038,0
389,TER,6,,6.11,7.264,18.358,18625374849,-4,-15,0.28465916,0.34,0,0,0,0,15.43,13.31,8.69,8.11,9.86,0.0035,0.0035,0.0052,0.0097,0.006
390,FDS,9,,10.623037,14.611,37.163,14849815068,-2,10,0.32559327,0.34,0,0,0,0,27.02,23.57,17.64,13.77,14.34,0.0079,0.0087,0.0108,0.0105,0.0115
391,WLK,7,,15.69,1.562,6.166,12424436042,-3,-4,0.20693994,0.34,0,0,0,0,61.95,47.06,45.38,42.99,37.56,0.0117,0.014,0.016,0.012,0.0071
392,OMF,8,,9.9959524,2.152,5.065,6655476015,-3,-26,0.56708673,0.34,0,0,0,0,23.53,25.61,31.81,27.97,24.24,0.1914,0.1289,0.0704,0,0
393,THO,8,,11.91831,2.2,9.743,6429128054,-3,2,0.06148811,0.34,0,0,0,0,52.77,42.05,38.67,36.79,29.99,0.0141,0.0162,0.034,0.0156,0.0122
394,GPI,8,,31.01123596,1.631,5.394,2978117964,0,7,0.05878288,0.34,0,0,0,0,102.55,80.14,67.41,59.8,53.8,0.008,0.0044,0.0105,0.0187,0.0123
395,BOOT,9,,6.51,4.668,14.545,2799248733,-2,-8,0.01083355,0.34,0,0,0,0,20.29,13.65,11.25,9.4,8.02,0,0,0,0,0
396,VRRM,,,,9.761,61.223,2537622400,-1,-3,0.27274704,0.34,0,0,0,0,1.61,2.14,2.15,3.46,0.1,0,0,0,0.8648,0
397,SAH,8,,8.373234523,1.91,5.893,2056022720,-1,8,0.04795656,0.34,0,0,0,0,25.9,19.18,21.96,19.27,17.88,0.0089,0.0099,0.0109,0.015,0.0091
398,RGR,5,,8.859615285,3.212,7.492,1168005135,-1,-9,0.19665777,0.34,0,0,0,0,20.8,15.14,16.35,15.15,12.98,0.0506,0.1028,0.0163,0.0206,0.0255
399,HNGR,5,,1.09,6.073,15.936,669037236,0,7,0.06505212,0.34,0,0,0,0,2.9,1.34,0.26,-0.6,-0.77,0,0,0,0,0
400,BRT,8,,1.63,1.801,12.555,365539973,-2,6,0.12099918,0.34,0,0,0,0,11.93,10.39,12.51,13.58,11.86,0.0431,0.0632,0.0493,0.0683,0
401,RAVE,3,,0.09,4.136,15.599,23710590,-1,30,0.23122008,0.34,0,0,0,0,0.33,0.03,0.29,0.45,-0.18,0,0,0,0,0
402,AXP,7,,10.04,6.299,17.333,1.40E+11,-1,-16,0.35843785,0.33,0,0,0,0,28.11,28.55,27.86,26.04,20.64,0.0104,0.0157,0.0129,0.0151,0.0144
403,DE,4,,6.73,5.842,18.056,1.08E+11,0,4,0.08922775,0.33,0,0,0,0,59.15,41.27,36.06,34.99,29.91,0.0097,0.012,0.0182,0.0169,0.016
404,DFS,8,,17.74918567,2.604,6.408,34918179355,-1,-12,0.53289974,0.33,0,0,0,0,43.67,35.45,37.06,32.35,29.12,0.0182,0.0225,0.0234,0.0237,0.0177
405,FAST,9,,1.61,10.552,34.705,32102251035,-1,8,0.10732717,0.33,0,0,0,0,5.29,4.76,4.65,4.01,3.64,0.0201,0.0307,0.0241,0.0256,0.0229
406,HOLX,9,,7.28,4.45,10.03,18772069123,0,1,0.46353878,0.33,0,0,0,0,16.41,10.3,7.85,8.83,9.95,0,0,0,0,0
407,TPR,5,,3.24,3.932,10.494,8986200000,-2,-7,0.12763857,0.33,0,0,0,0,8.65,11.73,8.17,12.14,11.37,0.0294,0,0.1,0.0441,0.0283
408,LSCC,8,,0.7,18.327,78.648,7544101344,-2,3,0.32434814,0.33,0,0,0,0,3.01,2.84,2.47,2.04,1.77,0,0,0,0,0
409,WGO,7,,8.41,2.172,8.143,2295326850,-3,6,0.08123431,0.33,0,0,0,0,31.52,24.9,20.05,16.91,14.41,0.007,0.0088,0.0113,0.0114,0.0096
410,SPXC,3,,9.375482562,2.052,5.321,2263376830,-3,20,-0.00061686,0.33,0,0,0,0,24.33,14.1,11.43,9.64,7.42,0,0,0,0,0
411,BLMN,4,,2.46,8.336,8.371,1804464770,-5,-10,0.0782031,0.33,0,0,0,0,2.47,0.05,1.92,0.5,0.4,0,0.0094,0.0195,0.0191,0.0146
412,VRTV,5,,9.5,2.158,9.49,1372235256,-1,41,0.01896689,0.33,0,0,0,0,41.77,36.54,33.39,34.33,35.01,0,0,0,0,0
413,GDEN,8,,5.64,4.061,8.021,1297646823,-3,-21,0.23723341,0.33,0,0,0,0,11.13,5.74,10.44,11.44,13.89,0,0,0,0,0
414,CLFD,8,,1.48,7.465,38.13,775082287,0,102,-0.0294148,0.33,0,0,0,0,7.57,6.07,5.57,5.13,4.77,0,0,0,0,0
415,LOVE,,,,3.844,13.083,600496359,-7,-16,0.04008861,0.33,0,0,0,0,10.69,7.39,6.32,7.48,0,0,0,0,0,0
416,HVT,5,,5.0957,2.002,5.644,512489798,-1,14,0.06471212,0.33,0,0,0,0,14.36,13.89,13.63,13.37,13.86,0.1023,0.0849,0.0386,0.0856,0.0234
417,LXRX,5,,-0.601824167,-0.296,-5.018,440376400,-1,8,-596.2660551,0.33,0,0,0,0,-10.2,1.41,1.1,-0.25,0.5,0,0,0,0,0
418,PANL,4,,1.53,0.574,2.383,172469459,-3,0,0.11322183,0.33,0,0,0,0,6.83,4.21,3.98,3.83,3.78,0.0193,0.0044,0.0622,0.0173,0.0109
419,SYNL,6,,2.22,1.34,7.384,149496573,17,-6,0.04091293,0.33,0,0,0,0,12.26,8.82,11.86,11.64,10.3,0,0,0,0.0164,0.0098
420,EPM,6,,-0.49,2.571,-8.54,140372818,3,-5,0.38288877,0.33,0,0,0,0,1.64,2.24,2.42,2.33,2.07,0.0309,0.12,0.0638,0.0327,0.0315
421,PG,5,,6,7.187,22.712,3.35E+11,0,-5,0.20855001,0.32,0,0,0,0,19.33,18.45,18.32,17.56,20.67,0.0262,0.0231,0.0233,0.0232,0.036
422,ACN,9,,9.31,10.398,34.379,2.03E+11,-1,-2,0.13739655,0.32,0,0,0,0,30.77,26.72,22.58,16.49,14.43,0.011,0.0142,0.0152,0.0156,0.0179
423,MMC,8,,6.211462451,6.907,24.192,76036622176,-1,14,0.16204959,0.32,0,0,0,0,21.76,17.99,15.4,14.84,14.35,0.0135,0.017,0.0153,0.019,0.0172
424,APH,9,,4.02,7.226,19.165,45957560358,-1,6,0.14389267,0.32,0,0,0,0,10.67,9.04,7.61,6.67,6.53,0.0075,0.008,0.0092,0.0095,0.0072
425,FLT,8,,10.25828486,6.604,22.549,18929484964,-1,-1,0.27450284,0.32,0,0,0,0,35.03,39.94,42.96,37.64,40.34,0,0,0,0,0
426,GPC,7,,6.27,5.355,20.799,18693883837,0,29,0.06554086,0.32,0,0,0,0,24.34,22.18,25.21,23.53,23.19,0.0249,0.0334,0.0311,0.0285,0.0256
427,NXST,9,,19.81,2.56,8.742,7296068739,-1,12,0.29400397,0.32,0,0,0,0,63.45,56.06,44.18,40.53,34.33,0.0162,0.0198,0.0148,0.0179,0.0157
428,EXP,9,,9.01,4.519,13.689,5123091010,-2,-3,0.27263179,0.32,0,0,0,0,27.29,32.71,23.03,25.94,29.45,0.006,0.0007,0.0067,0.0045,0.0041
429,EVTC,9,,2.24,6.558,18.974,3057242543,-1,-18,0.40247966,0.32,0,0,0,0,6.47,4.69,3.71,2.91,1.99,0.0047,0.0058,0.0058,0.0036,0.0194
430,CCS,9,,14.79,1.206,4.27,2128583351,-4,-18,-0.10292787,0.32,0,0,0,0,52.35,38.45,34.37,28.56,30.28,0.0071,0,0,0,0
431,SCVL,8,,5.50550974,1.813,5.297,820329114,-1,-14,0.06750923,0.32,0,0,0,0,16.09,11.03,10.31,10.07,9.47,0.0097,0.0071,0.0131,0.0085,0.0129
432,TPB,8,,2.68,5.077,12.815,667113509,-3,-25,0.09057388,0.32,0,0,0,0,6.77,6.54,5.43,4.27,2.81,0.0061,0.0042,0.0077,0.0035,0.0018
433,TMST,4,,3.8,0.993,3.861,660150000,-5,5,0.14382286,0.32,0,0,0,0,14.77,11.28,12.57,12,12.63,0,0,0,0,0
434,MPX,7,,0.855568001,4.209,14.287,414702400,-1,-4,0.03543973,0.32,0,0,0,0,2.9,2.49,2.27,2.18,2,0.0377,0.0245,0.0408,0.0353,0.0213
435,TH,,,,2.99,-63.549,290799176,0,362,0.22729679,0.32,0,0,0,0,1.01,1.04,1.31,0.12,0,0,0,0,0.0648,0
436,ZEUS,4,,10.53,0.57,1.998,241906589,-3,18,-0.00109058,0.32,0,0,0,0,36.93,26.3,26.79,26.85,23.95,0.0037,0.0057,0.0051,0.0041,0.0033
437,SUP,3,,-10.81,0.746,-0.484,117800760,-1,58,0.01642754,0.32,0,0,0,0,6.19,16.44,14.93,15.8,15.65,0.1151,0.2835,0.2247,0.0449,0.0296
438,BKNG,8,,28.43,16.003,84.865,98867801159,-3,-17,0.42701079,0.31,0,0,0,0,150.78,119.42,137.71,185.16,229.9,0,0,0,0,0
439,EMR,5,,3.865391,5.848,25.097,57798559251,-2,-4,0.13322231,0.31,0,0,0,0,16.59,14.06,13.47,14.22,13.59,0.0209,0.0312,0.0279,0.0288,0.0287
440,MPC,5,,15.34,1.778,4.785,46598202012,0,33,0.07517397,0.31,0,0,0,0,40.38,34.2,51.13,67.91,27.68,0.0318,0.0539,0.039,0.0282,0.0221
441,FANG,7,,12.05345059,1.928,10.679,23301795440,0,2,0.58465086,0.31,0,0,0,0,66.77,55.67,81.04,130.94,53.92,0.0134,0.0264,0.009,0.0035,0
442,AMCR,4,,0.61,4850386.38,21.39,20085450000,-2,7,0.14348843,0.31,0,0,0,0,0,3.07,2.89,4.75,0.88,0,0.0414,0.0459,0.0543,0.0429
443,NLY,5,,1.6,0.836,4.605,11006050718,-1,-4,1.36201502,0.31,0,0,0,0,9.31,9.9,11.01,11.67,13.95,0.1235,0.1285,0.1201,0.1221,0.1198
444,WSO,9,,10.86,6.467,25.7,10766803261,-4,13,0.04901723,0.31,0,0,0,0,43.17,38.54,37.54,35.98,34.86,0.0274,0.0289,0.0355,0.0384,0.0246
445,SEIC,9,,3.890147822,4.349,14.807,8093202989,-1,-1,0.31155733,0.31,0,0,0,0,13.24,11.86,11.47,10.17,9.34,0.013,0.0134,0.0099,0.0124,0.0075
446,WH,,,,7.067,31.539,7695418799,-3,-17,0.29185668,0.31,0,0,0,0,11.66,10.31,12.56,14.25,0,0.0107,0.0099,0.0202,0.0398,0
447,CPRI,7,,5.49,2.865,8.92,7332017335,-4,-23,0.12220101,0.31,0,0,0,0,17.09,14.34,14.38,16.22,13.25,0,0,0,0,0
448,MEDP,,,,6.338,33.215,6040132500,-2,22,0.22244267,0.31,0,0,0,0,26.74,22.61,20.24,16.59,12.89,0,0,0,0,0
449,CR,6,,7.468267581,3.179,13.398,5833575965,-2,3,0.10423931,0.31,0,0,0,0,31.42,26.22,24.64,25.57,22.65,0.0172,0.0228,0.0179,0.0169,0.0136
450,UFPI,8,,8.68,2.44,9.186,4920136375,-1,7,0.07563666,0.31,0,0,0,0,32.69,23.67,20.15,17.41,15.66,0.0082,0.0092,0.0081,0.0124,0.0083
451,RRC,6,,1.692393685,2.249,11.389,4689877390,-3,67,0.25862787,0.31,0,0,0,0,8.64,6.78,9.47,16.49,23.56,0,0,0.0269,0.0069,0.0055
452,PSB,7,,16.29303271,2.653,10.252,4600782535,0,18,0.64835903,0.31,0,0,0,0,62.97,63.94,63.67,64.62,62.24,0.0629,0.0437,0.036,0.0398,0.045
453,CRI,8,,2.241607587,4.24,11.857,4028415176,-2,-7,0.03643449,0.31,0,0,0,0,21.96,21.69,19.82,18.83,18.01,0.0149,0.0067,0.0187,0.0217,0.0123
454,SHOO,7,,2.463349077,3.935,16.758,3195476217,-3,-21,0.0489685,0.31,0,0,0,0,10.39,9.88,10.41,9.87,9.7,0.0154,0.0047,0.0152,0.0178,0
455,WDFC,6,,5.11,15.824,45.15,3170812981,-1,-3,0.05637967,0.31,0,0,0,0,14.63,11.71,10.54,11.16,9.89,0.0121,0.0139,0.013,0.0123,0.017
456,CRVL,7,,3.74,12.962,41.457,2753135272,0,6,0.17611435,0.31,0,0,0,0,11.96,12.29,10.35,10.37,9.09,0,0,0,0,0
457,ARCB,7,,8.4,2.347,10.211,2180197984,-1,4,0.073478,0.31,0,0,0,0,36.56,32.61,29.88,27.95,25.36,0.0037,0.0069,0.0125,0.0078,0.009
458,VCTR,,,,2.327,7.772,2163676073,-3,-13,0.29391294,0.31,0,0,0,0,13.68,10.45,7.95,6.87,0,0,0.0113,0.0052,0.0012,0
459,ECPG,8,,11.64,1.662,5.616,1970135310,1,-20,0.15531138,0.31,0,0,0,0,39.34,38.74,32.75,28.89,22.4,0,0,0,0,0
460,IRWD,7,,3.26,2.932,3.362,1776582750,1,10,0.6378691,0.31,0,0,0,0,3.73,0.39,-0.61,-1.29,0.07,0,0,0,0,0
461,LC,8,,0.185206061,1.992,91.142,1693413184,-6,-19,0.39634771,0.31,0,0,0,0,8.48,9.29,10.31,10.28,11.28,0,0.0594,0,0,0
462,GES,5,,0.002796965,2.257,8.202,1405520074,-3,-7,0.0490469,0.31,0,0,0,0,9.7,8.47,9.08,10.45,11.16,0.0261,0.0092,0.037,0.0412,0.0578
463,GRBK,8,,3.75,1.332,6.123,1164578949,-9,27,0.04421336,0.31,0,0,0,0,17.25,12.66,10.35,9.25,8.39,0,0,0,0.025,0.0194
464,ASIX,,,,1.92,8.257,1154205117,-3,5,0.13182539,0.31,0,0,0,0,21.43,15.83,14.25,13.93,12.35,0.003,0,0,0,0
465,DSKE,,,,3.831,12.041,674310600,-2,-39,0.08046712,0.31,0,0,0,0,2.72,2.24,2.16,7.25,9.34,0.0074,0.0144,0.0262,0.0199,0.0123
466,VALU,7,,2.48,8.426,28.172,671112059,-2,40,0.6081678,0.31,0,0,0,0,8.3,6.98,5.55,4.91,4.49,0.0125,0.0272,0.0281,0.0312,0.0456
467,CTT,6,,1.19350213,2.175,6.785,395286710,-1,40,0.46072781,0.31,0,0,0,0,3.75,2.64,3.93,6.71,10.12,0.059,0.059,0.0521,0.0597,0.0411
468,TG,4,,1.73,2.117,6.764,391137420,-2,-4,0.02086925,0.31,0,0,0,0,5.53,3.26,11.34,10.73,10.43,0.0413,0.4433,0.0222,0.0269,0.023
469,TLYS,8,,2.16,2.159,5.87,377151900,-1,-33,0.03504099,0.31,0,0,0,0,5.88,5.41,5.41,5.58,5.57,0.1634,0.095,0.1632,0.0838,0.0516
470,TAIT,4,,0.48,1.411,7.284,20292612,-2,17,-0.00923339,0.31,0,0,0,0,2.48,2.28,2.22,2.25,2.12,0.0476,0.0427,0.0447,0.0534,0.0616
471,TSLA,9,,5.6,27.643,151.205,8.35E+11,-2,8,0.2096001,0.3,0,0,0,0,30.62,23.15,7.48,5.77,5.11,0,0,0,0,0
472,COST,9,,11.3,11.285,39.588,1.98E+11,-1,10,0.03597532,0.3,0,0,0,0,39.64,41.34,34.66,29.19,24.58,0.029,0.0095,0.0083,0.0066,0.0539
473,NFLX,9,,11.55483786,10.693,33.125,1.69E+11,-2,-36,0.02270958,0.3,0,0,0,0,35.95,25.1,17.32,12.03,8.29,0,0,0,0,0
474,CSX,5,,1.68,5.743,20.489,77467500675,-2,-1,0.37499104,0.3,0,0,0,0,6,5.72,5.11,5.12,5.51,0.0108,0.0122,0.0127,0.0138,0.014
475,REGN,9,,76.4,3.583,8.327,67241392000,-1,3,0.59410409,0.3,0,0,0,0,174.43,102.47,101.55,81.16,57.78,0,0,0,0,0
476,VRTX,7,,9.01,6.252,26.962,63146559820,2,30,0.4811985,0.3,0,0,0,0,38.87,33.43,23.7,17.44,8.15,0,0,0,0,0
477,WM,7,,4.29,8.782,34.45,62561697462,0,23,0.23540539,0.3,0,0,0,0,16.84,17.62,16.65,14.62,13.72,0.0155,0.0197,0.0168,0.0197,0.0194
478,BLL,6,,2.69,8.411,34.744,30505310000,-3,-23,0.09950007,0.3,0,0,0,0,11.12,10.04,8.91,10.03,11.25,0.0075,0.0069,0.0075,0.0078,0.0098
479,WST,8,,8.96,12.437,43.888,29044916911,-1,-13,0.23055385,0.3,0,0,0,0,31.6,25.09,21.26,18.89,17.32,0.0018,0.0022,0.0039,0.0054,0.0052
480,URI,7,,19.06,3.856,16.668,23101879000,-2,1,0.35577013,0.3,0,0,0,0,82.41,62.52,49.55,41.15,36.71,0,0,0,0,0
481,JBHT,9,,7.200944248,6.468,26.508,20167537959,-1,0,0.0959111,0.3,0,0,0,0,29.67,24.61,21.34,19.33,16.76,0.0062,0.008,0.0094,0.009,0.0077
482,BR,9,,4.62,9.762,34.755,18736185000,-1,23,0.077683,0.3,0,0,0,0,16.45,15.64,11.74,9.73,9.37,0.0155,0.013,0.0157,0.0139,0.0126
483,ROL,9,,0.712678507,13.625,42.039,14742386748,-2,18,0.15552832,0.3,0,0,0,0,2.2,1.91,1.66,1.45,1.33,0.0142,0.0091,0.0123,0.0126,0.0113
484,PHM,9,,7.44,1.774,6.827,13288356250,-3,-8,0.04509916,0.3,0,0,0,0,28.89,24.46,19.88,16.99,13.62,0.0111,0.0111,0.0098,0.0135,0.0113
485,TTC,9,,3.82,9.377,26.335,10794210702,-1,-7,0.04606277,0.3,0,0,0,0,10.72,10.36,8.05,6.29,5.7,0.0104,0.011,0.0115,0.0129,0.0107
486,RS,5,,22.39431055,1.576,6.788,9591857016,-2,10,0.07117526,0.3,0,0,0,0,96.19,79.52,77.84,65.24,64.06,0.0185,0.022,0.0192,0.025,0.0204
487,CTRA,5,,2.3,0.734,7.444,8620008911,-1,34,0.49146897,0.3,0,0,0,0,29.45,5.56,5.18,4.69,5.44,0.0905,0.0218,0.0245,0.0099,0.0064
488,HUN,3,,4.728506787,1.773,7.427,7761519757,-2,-25,0.13828535,0.3,0,0,0,0,19.81,15.92,11.73,10.59,10.99,0.0205,0.0247,0.0305,0.0288,0.0147
489,DECK,8,,16.43,4.751,16.175,7310251000,-3,15,0.05514027,0.3,0,0,0,0,55.94,51.48,40.17,35.26,29.62,0,0,0,0,0
490,ASH,1,,3.859649,1.989,24.875,5472570114,-2,12,-0.06091127,0.3,0,0,0,0,48.28,49.77,59.52,54.94,54.94,0.0128,0.0155,0.0137,0.0132,0.0184
491,SIG,4,,14.01,2.367,4.813,3701250000,-3,-9,0.1204564,0.3,0,0,0,0,29.79,35.24,35.58,33.22,49.42,0.0051,0.0101,0.093,0.0732,0.0351
492,CRK,5,,-1.12,1.548,-7.609,1839166020,-3,150,0.43954138,0.3,0,0,0,0,5.13,6.7,10.67,3.99,-25.22,0.0095,0.0261,0.0228,0,0
493,HEES,5,,1.675739,4.808,24.083,1458549430,-2,-11,0.25209088,0.3,0,0,0,0,8.41,6.61,8.58,7.2,6.1,0.0273,0.0399,0.039,0.0414,0.0274
494,RUTH,8,,1.23,4.953,15.842,669704108,-1,-14,0.13257527,0.3,0,0,0,0,3.95,3.39,3.25,3.04,2.62,0,0.0075,0.0274,0.0192,0.0158
495,DHIL,7,,23.34,3.13,7.779,577237690,-4,-2,0.1335173,0.3,0,0,0,0,58,57.26,58.54,55.89,49.69,0.1264,0.0797,0.064,0.0514,0.0332
496,HCKT,6,,1.38,3.942,13.65,567096672,0,19,0.17360529,0.3,0,0,0,0,4.79,4.7,4.62,4.21,3.72,0.0227,0.0366,0.0226,0.019,0.0187
497,TBPH,5,,-3.19875,-1.613,-2.739,546142200,0,0,-2.45640928,0.3,0,0,0,0,-5.43,-4.87,-4.03,-0.96,2.2,0,0,0,0,0
498,SESN,5,,-0.001843,0.743,-379.84,127626100,-1,10,-1.43515,0.3,0,0,0,0,0.94,-0.08,-0.29,0.72,0.69,0,0.0007,0,0,0
499,LIVE,6,,19.92,0.656,1.588,49541688,0,-14,0.03337054,0.3,0,0,0,0,48.22,25.75,17.95,20.07,15.2,0,0,0,0,0
500,JOB,5,,0.000099,0.357,4807.124,28842744,1,18,0.03960696,0.3,0,0,0,0,1.33,1.8,0.78,2.06,2.5,0,0,0,0,0
501,GOOGL,9,,5.609850754,7.076,23.419,1.78E+12,-2,-10,0.34155944,0.29,0,0,0,0,18.84,16.34,14.54,12.78,11,0,0,0,0,0
502,GOOG,9,,5.619428279,7.053,23.342,1.77E+12,-2,-9,0.34155944,0.29,0,0,0,0,18.9,16.34,14.54,12.78,11,0,0,0,0,0
503,CSCO,6,,2.83,4.904,16.511,1.95E+11,-1,-14,0.2725721,0.29,0,0,0,0,9.54,9.78,8.95,7.6,8.93,0.0319,0.0247,0.0337,0.0287,0.0265
504,MMM,6,,10.23,6.276,15.949,94434903532,0,-1,0.17149779,0.29,0,0,0,0,25.99,22.28,17.44,16.65,19.35,0.0362,0.0334,0.0354,0.0272,0.0186
505,CDNS,9,,2.54,15.183,59.79,41610898396,-1,39,0.35735946,0.29,0,0,0,0,10.02,9.11,7.7,4.71,3.64,0,0,0,0,0
506,KEYS,6,,4.84,9.508,40.245,35978800000,-2,11,0.26010245,0.29,0,0,0,0,20.45,17.63,15.98,13.01,12.83,0,0,0,0,0
507,EXR,9,,6.2,8.427,31.732,26262859535,-1,14,0.64212861,0.29,0,0,0,0,23.37,19.67,19.81,19.14,18.66,0.0229,0.0317,0.0323,0.0346,0.0376
508,MOS,3,,4.283833597,1.421,9.244,15072830000,-2,21,0.17785563,0.29,0,0,0,0,27.98,25.28,23.93,27.02,27.41,0.0069,0.0077,0.0087,0.0031,0.0221
509,IPG,8,,2.470139771,3.927,14.533,13847264607,0,-17,0.10510006,0.29,0,0,0,0,8.96,7.43,7.19,6.24,5.65,0.0309,0.0425,0.0405,0.037,0.0332
510,LPLA,7,,5.803164908,7.89,28.66,13179862658,-3,24,0.20027378,0.29,0,0,0,0,21.08,16.59,12.4,11.05,10.72,0.0061,0.0092,0.0105,0.0144,0.017
511,CPB,5,,3.31,4.011,12.619,12644189849,1,15,0.14855587,0.29,0,0,0,0,10.4,8.49,3.66,4.53,5.37,0.0347,0.0274,0.0334,0.0355,0.0271
512,CSL,7,,8.049713193,4.356,27.162,11454222712,-1,34,0.07849473,0.29,0,0,0,0,50.28,46.56,46.44,43.01,40.09,0.0098,0.0142,0.0114,0.0144,0.013
513,HLI,,,,3.748,12.362,5411375204,-2,-19,0.23691944,0.29,0,0,0,0,22.22,21.03,15.84,14.33,13.65,0.0212,0.0211,0.0219,0.0218,0.0187
514,MTH,9,,19.55151387,1.239,5.116,3772931495,-3,-7,-0.03928035,0.29,0,0,0,0,80.71,62.25,51.81,42.9,39.14,0,0,0,0,0
515,LGIH,9,,17.53071042,2.193,7.124,3060949677,-4,-15,-0.13518024,0.29,0,0,0,0,55.53,45.32,36.44,29.09,22.67,0,0,0,0,0
516,CVCO,9,,21.54,2.691,11.304,2234803784,-4,0,0.13701107,0.29,0,0,0,0,90.48,74.4,66.55,58.32,50.65,0,0,0,0,0
517,FOE,4,,1.819908364,3.346,12.105,1801619820,0,1,-0.0544304,0.29,0,0,0,0,6.51,5.23,4.39,4.49,4.12,0,0,0,0,0
518,HZO,9,,7.04,1.916,7.355,1139904633,-4,-6,0.07490137,0.29,0,0,0,0,27.03,21.13,16.54,15.86,12.61,0,0,0,0,0
519,TUP,2,,0.38,-3.62,40.303,749633185,-2,-27,0.03499281,0.29,0,0,0,0,-4.23,-4.18,-5.81,-4.71,-2.35,0,0,0.2034,0.0724,0.0428
520,DCO,5,,11.3704698,1.043,3.652,494945640,-3,2,0.03510482,0.29,0,0,0,0,40.65,28.21,25.42,22.55,20.87,0,0,0,0,0
521,AMTX,5,,-1.54,-2209.835,-5.636,265706120,-11,-1,-0.03558448,0.29,0,0,0,0,0,-8.79,-7.54,-5.47,-3.95,0,0,0,0,0
522,DLHC,9,,0.81,2.911,18.827,190995780,-1,8,0.06491131,0.29,0,0,0,0,5.23,4.35,3.79,3.32,3.16,0,0,0,0,0
523,HBB,,,,1.806,8.669,184697100,-1,-12,-0.1127301,0.29,0,0,0,0,7.37,5.87,4.02,4.78,3.39,0,0.0193,0.0215,0.0131,0.1114
524,MRAM,,,,6.659,41.69,181391159,-5,-25,0.14697,0.29,0,0,0,0,1.4,0.93,1.07,1.52,0.87,0,0,0,0,0
525,USAK,6,,2.82,1.404,6.317,156458250,0,39,0.0502112,0.29,0,0,0,0,12.7,9.65,9.17,9.82,8.28,0,0,0,0,0
526,HON,6,,7.871041045,7.249,25.17,1.39E+11,-1,10,0.13369512,0.28,0,0,0,0,27.86,24.92,25.65,24.47,22.67,0.0188,0.0188,0.019,0.0213,0.0182
527,IBM,1,,6.41,6.376,20.988,1.21E+11,-1,12,0.19415519,0.28,0,0,0,0,21.1,23.13,23.49,18.42,18.86,0.0487,0.0572,0.0492,0.0484,0.0377
528,XLNX,5,,2.65,10.453,46.678,30177953083,0,16560,0.30309551,0.28,0,0,0,0,11.82,9.2,11.32,9.34,9.94,0.0092,0.0166,0.0123,0.022,0.0208
529,VFC,5,,3.55,5.77,14.686,20369286744,-2,-22,0.0356843,0.28,0,0,0,0,9.05,7.84,8.49,10.88,9.32,0.038,0.0216,0.0328,0.0218,0.0222
530,MOH,7,,11.36206897,6.288,25.093,16536380000,1,8,0.05909556,0.28,0,0,0,0,45.34,35.35,31.61,26.56,22.28,0,0,0,0,0
531,MRO,3,,1.2,1.461,16.505,15614080157,-1,13,0.66305113,0.28,0,0,0,0,13.58,13.39,15.27,14.81,13.77,0.009,0.0112,0.0172,0.0129,0.0111
532,TRGP,6,,0.31,6.689,188.989,13455990186,-2,13,0.11393083,0.28,0,0,0,0,8.66,11.43,22.36,27.12,29.77,0.0139,0.0001,0.1121,0.095,0.0862
533,AOS,7,,3.01,6.666,25.074,12213616805,-2,-10,0.12961569,0.28,0,0,0,0,11.33,11.43,10.27,10.21,9.6,0.0139,0.0181,0.0211,0.0162,0.0085
534,DCI,5,,2.27,7.68,30.439,8732975532,-1,6,0.11353945,0.28,0,0,0,0,9,7.78,6.92,6.55,6.41,0.0123,0.0164,0.0161,0.0144,0.0149
535,SSD,9,,6.156923006,4.082,18.137,4832630842,-1,-9,0.10941298,0.28,0,0,0,0,27.36,22.44,19.94,18.51,18.63,0.0086,0.01,0.0105,0.0143,0.0132
536,HRI,6,,7.567567568,4.686,20.416,4573200000,-3,-22,0.3317495,0.28,0,0,0,0,32.97,25.5,22.45,20.17,18.04,0.0031,0,0,0,0
537,TROX,6,,2,1.573,10.967,3136607285,-7,-28,0.16812227,0.28,0,0,0,0,13.91,11.84,5.35,5.56,6.94,0.0207,0.0182,0.0208,0.0212,0.0099
538,GMS,,,,2.021,7.869,2151596250,-2,2,0.03875207,0.28,0,0,0,0,24.71,19.23,15.15,15.38,14.13,0,0,0,0,0
539,TSE,3,,11.49,2.009,4.626,2035645057,-5,-45,0.07373606,0.28,0,0,0,0,26.45,15.41,16.6,17.96,15.41,0.0108,0.0317,0.0523,0.0312,0.016
540,DDD,6,,2.62,2.311,6.046,1947108240,-5,-35,-0.05524024,0.28,0,0,0,0,7.16,3.66,4.59,5.15,5.55,0,0,0,0,0
541,GFF,6,,1.56,1.668,16.999,1346486690,-1,48,0.01322097,0.28,0,0,0,0,15.88,16.44,11.67,11.57,9.73,0.0127,0.0159,0.0158,0.0965,0.0117
542,XELA,,,,-0.929,-4.35,619466557,-6,-91,-0.12841552,0.28,0,0,0,0,-13.54,-18.82,-15.3,-3.56,-0.28,0,0,0,0,0
